filename,FLOPs,Unit
MysqlDataSource.java,1.341T,85.132M
MysqlValidConnectionChecker.java,197.900G,85.132M
MysqlXAConnection.java,2.687T,85.132M
MysqlXADataSource.java,199.598G,85.132M
ReflectiveStatementInterceptorAdapter.java,575.859G,85.132M
SocialNetworkDBAThread.java,1.277T,85.132M
SocialNetworkNavigation.java,1.004T,85.132M
Statement.java,124.007G,85.132M
V1toV2StatementInterceptorAdapter.java,241.216G,85.132M
ScreenSingleton.java,222.531G,85.132M
CDABuilder.java,1.951T,85.132M
DocumentEntryBuilder.java,1.823T,85.132M
PdqMessageBuilderImpl.java,1.424T,85.132M
PdqRouteBuilder.java,119.760G,85.132M
BaseDataPrototype.java,1.293T,85.132M
CarroPrototipo.java,89.183G,85.132M
Circle.java,198.749G,85.132M
Color.java,50.963G,85.132M
Complex.java,112.116G,85.132M
Figure.java,129.103G,85.132M
GridPrototype.java,101.924G,85.132M
Main.java,118.061G,85.132M
Main2.java,220.832G,85.132M
MMacroCreatorPrototype.java,436.566G,85.132M
MParamPrototype.java,261.601G,85.132M
MParamRefPrototype.java,265.847G,85.132M
Point.java,101.074G,85.132M
Porsche911.java,145.240G,85.132M
Principal.java,158.830G,85.132M
Proto.java,204.694G,85.132M
Prototype.java,40.771G,85.132M
Prototype1.java,122.308G,85.132M
Prototype2.java,162.227G,85.132M
Triangle.java,415.332G,85.132M
CogrooSingleton.java,800.936G,85.132M
RefactoringObserver.java,17.838G,85.132M
TamagotchiObserver.java,32.277G,85.132M
Singleton.java,8.495G,85.132M
Prototype.java,217.435G,85.132M
VolFacadeREST.java,676.931G,85.132M
LoggingObserver.java,144.391G,85.132M
Builder.java,1.735T,85.132M
CompositeBuilder.java,1.823T,85.132M
ExecBuilder.java,1.390T,85.132M
Maven2Builder.java,2.092T,85.132M
NantBuilder.java,1.846T,85.132M
PhingBuilder.java,2.150T,85.132M
RakeBuilder.java,920.694G,85.132M
ServerNameSingleton.java,125.705G,85.132M
XcodeBuilder.java,2.141T,85.132M
Observable.java,148.638G,85.132M
SingletonFactory.java,166.474G,85.132M
ContentsAdapter.java,164.775G,85.132M
AbstractFaultChainInitiatorObserver.java,853.595G,85.132M
AddressingAssertionBuilder.java,793.292G,85.132M
ArrayVisitor.java,1.898T,85.132M
ChainInitiationObserver.java,1.287T,85.132M
ClientMessageObserver.java,366.920G,85.132M
ClientOutFaultObserver.java,313.411G,85.132M
ColocMessageObserver.java,1.376T,85.132M
ConstrTypeSpecVisitor.java,290.478G,85.132M
ConstVisitor.java,673.534G,85.132M
DefinitionVisitor.java,772.058G,85.132M
EndpointReferenceDomainExpressionBuilder.java,512.158G,85.132M
ExceptionVisitor.java,1.196T,85.132M
FixedVisitor.java,806.881G,85.132M
JaxbAssertionBuilder.java,980.148G,85.132M
JAXWSDefinitionBuilder.java,1.644T,85.132M
MessageReplayObserver.java,252.258G,85.132M
ModuleVisitor.java,233.572G,85.132M
MTOMAssertionBuilder.java,272.642G,85.132M
MultipleEndpointObserver.java,716.001G,85.132M
OperationVisitor.java,2.783T,85.132M
ParamDclVisitor.java,1.022T,85.132M
ParamTypeSpecVisitor.java,268.395G,85.132M
PortTypeVisitor.java,3.205T,85.132M
PrimitiveTypesVisitor.java,1.319T,85.132M
RM11AssertionBuilder.java,282.834G,85.132M
ScopedNameVisitor.java,4.588T,85.132M
SequenceVisitor.java,1.425T,85.132M
ServiceWSDLBuilder.java,5.765T,85.132M
SimpleTypeSpecVisitor.java,318.507G,85.132M
StaxBuilder.java,1.923T,85.132M
StringVisitor.java,1.575T,85.132M
TemplateTypeSpecVisitor.java,307.465G,85.132M
TypedefVisitor.java,1.200T,85.132M
TypesVisitor.java,304.068G,85.132M
VisitorBase.java,515.555G,85.132M
ObjectFactorySingleton.java,58.607G,85.132M
XYRegionMemento.java,138.445G,85.132M
aa.java,233.572G,85.132M
aze.java,306.616G,85.132M
BB.java,272.642G,85.132M
c.java,295.575G,85.132M
